Date,Name,close,high,low,netForeign,open,value,volume
06-26-2009,Property,829.51,839.9,828.76,43393000.0,838.23,0.0,339545000.0
06-26-2009,Services,1340.23,1357.94,1337.31,230885000.0,1337.31,0.0,940565000.0
06-26-2009,MiningAndOil,5686.8,5829.85,5642.03,-23167000.0,5825.89,0.0,108226000.0
06-26-2009,All Shares,1590.16,1604.03,1587.79,0.0,1594.53,0.0,0.0
06-26-2009,PSEi,2477.44,2508.77,2475.71,317089000.0,2487.42,0.0,2991053000.0
06-29-2009,Financials,544.47,550.54,544.31,19556000.0,547.94,0.0,149172000.0
06-29-2009,Industrials,3438.09,3449.02,3399.48,133422000.0,3438.92,0.0,471970000.0
06-29-2009,HoldingFirms,1334.21,1355.53,1334.21,-38614000.0,1351.23,0.0,478896000.0
06-29-2009,Property,818.89,832.85,817.91,-42284000.0,828.76,0.0,164727000.0
06-29-2009,Services,1344.33,1345.88,1334.3,190839000.0,1334.3,0.0,855590000.0
06-29-2009,MiningAndOil,5747.76,5748.22,5621.95,1560000.0,5734.96,0.0,149875000.0
06-29-2009,All Shares,1582.34,1591.28,1579.4,0.0,1588.0,0.0,0.0
06-29-2009,PSEi,2468.05,2481.2,2463.24,267586000.0,2472.11,0.0,2270232000.0
06-30-2009,Financials,538.9,547.33,536.67,-54710000.0,545.56,0.0,319925000.0
06-30-2009,Industrials,3397.68,3459.09,3396.27,108365000.0,3459.09,0.0,594036000.0
06-30-2009,HoldingFirms,1298.14,1352.42,1297.59,-150513000.0,1341.78,0.0,375548000.0
06-30-2009,Property,802.46,826.22,799.84,-104878000.0,822.85,0.0,220400000.0
06-30-2009,Services,1341.11,1347.86,1337.63,233429000.0,1344.71,0.0,809002000.0
06-30-2009,MiningAndOil,5730.23,5757.33,5607.37,17184000.0,5738.84,0.0,90799000.0
06-30-2009,All Shares,1566.47,1588.57,1565.1,0.0,1585.96,0.0,0.0
06-30-2009,PSEi,2437.99,2482.11,2436.19,47478000.0,2476.62,0.0,2409712000.0
07-01-2009,Financials,537.34,538.9,534.31,69511000.0,537.53,0.0,218206000.0
07-01-2009,Industrials,3390.42,3404.4,3352.35,83204000.0,3404.4,0.0,306949000.0
07-01-2009,HoldingFirms,1289.49,1305.39,1284.15,-9807000.0,1298.14,0.0,371070000.0
07-01-2009,Property,802.92,808.07,800.45,-8892000.0,801.61,0.0,141611000.0
07-01-2009,Services,1341.96,1343.71,1337.86,-31769000.0,1341.03,0.0,511397000.0
07-01-2009,MiningAndOil,5645.36,5679.61,5553.72,-2065000.0,5645.98,0.0,58154000.0
07-01-2009,All Shares,1567.17,1567.17,1561.06,0.0,1566.52,0.0,0.0
07-01-2009,PSEi,2432.89,2437.23,2425.72,103306000.0,2436.8,0.0,1607390000.0
07-02-2009,Financials,538.25,540.19,535.44,-8495000.0,539.81,0.0,291029000.0
07-02-2009,Industrials,3370.15,3395.21,3370.15,9319000.0,3387.65,0.0,326697000.0
07-02-2009,HoldingFirms,1292.0,1302.25,1284.75,-74612000.0,1289.85,0.0,298687000.0
